"安徽一男子给狗取名""城管""，被行政拘留十日…                 "	这种繁体的……;这TMD口袋罪，早晚要废除它！罪刑法定路上的阻碍！;;	6
国家富了，不差钱！--- - 今天终于亲眼见到了城管暴力执法，真是往死里打啊！一群年轻力壮的城管围殴一个板车小贩，而且下死手，根本不管是不是要害。发博当事人还称：地点就西直门。我手机差点被砸。网友吐槽：这两天已经被城管黑的，无...   http		6
网友爆料今天终于亲眼见到了城管暴力执法，真是往死里打啊！一群年轻力壮的城管围殴一个板车小贩，而且下死手。图中人已经被按在车上了，后脑脊柱等致命部位暴露无遗。如果不是群众上来解围恐怕非死即残。山东那哥们必然也是这么被打残废的。谁给你们权力这么对待老百姓的！在西直门桥北路西@凤凰网	中国如果发生战争把各个城市的城管先拉到前线战场倒退一步毙;	6
今天終於親眼見到了城管暴力執法,真是往死裏打啊！一群年輕力壯的城管圍毆一個板車小販,而且下死手,根本不管是不是要害,圖中人已經被按在車上了,後腦、脊柱等致命部位暴露無遺,如果不是圍觀群眾上來解圍恐怕非死即殘,山東那哥們必然也是這麼被打殘廢的,操,誰他媽給你們權力這麼對待老百姓的！ by賴小特	转发微博;	6
@赖小特特 亲眼见到北京城管暴力执法！一群年轻力壮城管围殴一板车小贩！真是往死里打！这是近期北京城管被曝光的第二次了！ http	微博的作者已经发微博，证明这条是假新闻，请去关注作者的最新微博;假消息！;您好，亲~，这是我的官方微博，是发布一些关于，婚纱美图的趣闻的，希望能得到亲的关注和支持哈。以后在微博上多多交流哦。如果给你骚扰，小编深感抱歉。;	6
@赖小特特 这个七月，城管升级为街道BOSS 了。果真要逆天。 尤其是圈上的那俩，下手真够狠的。 人老百姓是和你有杀父之仇 还是夺妻之恨？扣了你们家祖坟。 闭着眼抬手的大哥，是在演戏吗？ #城管7月#	判定结果 经查，此微博中称“北京西直门桥北路西惊现城管暴力执法”，而经海淀警方证实实际为在西直门北大街一饭馆门口有地产公司员工打架，详情：http://t.cn/zQVqVQQ 。;	6
【脱裤维稳～】對付女小贩，我城管採取脫褲維穩法；7月2日，惠州惠城區河南岸上馬庄启明苑门前一幕。转～	博主造谣，那里有维稳了，这分明是一小撮土匪带领一群小混混在耍流氓嘛[挖鼻屎];//@倚苍天屠巨龙: 转发微博;;	6
今天终于亲眼见到了城管暴力执法，真是往死里打啊！一群年轻力壮的城管围殴一个板车小贩，而且下死手，根本不管是不是要害。山东炸机场那哥们必然也是这么被打残废的。操，谁他妈给你们权力这么对待老百姓的！ 我在这里		6
@赖小特特 发博称，今天终于亲眼见到了城管暴力执法，真是往死里打啊！一群年轻力壮的城管围殴一个板车小贩，而且下死手，根本不管是不是要害。图中人已经被按在车上了，后脑、脊柱等致命部位暴露无遗。如果不是围观群众上来解围恐怕非死即残。城管，我qnmlgb		6
【首都城管怎么可能自甘落后！】今天，北京西直门桥北路西惊现城管暴力执法！一群年轻力壮的城管围殴一个板车小贩，下死手！根本不管是不是要害，往死里打。图中男子已被按在板车上，后脑、脊柱等致命部位暴露无遗，后面砸过来的钢盔，配以狰狞的目光，不忍直视！你以为只有临武、哈尔滨的城管牛吗？	贪官心虚了！昨天还共青团总部的大V，怎么今天就取消了？新浪后台有记录的，你消得了吗？你用这个共青团总部大V欺骗了多少女人！ 【钏允 http://weibo.com/u/1726276205 . . 共青团中央委员会 总部 |北京 东城区 |毕业于中国人民大学 | 标签◆ 】 . . 钏允 ..;这个社会怎么了？？？？？？悲哀！！！！！！！！！！！！！;那你这种人 如何活到今日？;	6
今天终于亲眼见到了城管暴力执法，真是往死里打啊！一群年轻力壮的城管围殴一个板车小贩，而且下死手，根本不管是不是要害。图中人已经被按在车上了，后脑、脊柱等致命部位暴露无遗。如果不是围观群众上来解围恐怕非死即残。山东那哥们必然也是这么被打残废的。操，谁他妈给你们权力这么对待老百姓的！	中国人寿保险公司是否？骗人;回复@央美郝昕:鄂？谢谢告知。那我也得道歉。;回复@佘大鹏:关心错了方向。;	6
【分享图片】临武县委副书记、县长贺遵庆个人资料简历：其中有两句“在职研究生学历，维稳学硕士学位”。——不看不知道，竟然还有一门学科叫“维稳学”，还有硕士学位！真长见识了！随着社会的发展，估计还会有城管博士，截访学教授，拆迁学院士.....	当真?;你也是做新闻的人，明显的恶搞分不出来吗？;纳尼？;	6
#经济解释#又不是李天一，惠州城管拔人家女小贩的裤子干什么？	男的穿红内裤？？？我真怀疑举报人的举报动机;是啊，不好好研究下新闻真相，让被刺的城管情何以堪啊？！;还女小贩，是男的好不好，拿刀捅伤人被制服了，是非真相都分不清！广东电视台DV现场的事实真相 http://t.cn/zQ7uSno;	6
城管执法为什么要脱女贩的裤子？ 城管执法为什么要脱女贩的裤子？7月2日下午，惠州惠城区河南岸上马庄启明苑门前，城管对一名女商贩进行检查，女商贩遭城管拔掉车钥匙时，用剪刀将一城管刺伤，城管在制服女商贩的过程中强行剥掉她的内裤。（图为：女小商贩被几名城管按倒在地剥内裤。）	//@农民维权: 流氓执法;流氓&变态。。。//@轻松小熊又杀回来了: 这几位仁兄乃真豪杰，想啪啪啪就当街行动;造谣一时爽，全家火葬场。2013年07月04日南都网《惠州小贩刺城管3剪刀后昏迷 执法大队称未打人》http://t.cn/zQ2xlSd 。全文提到小贩时各种男“他”，到这儿就变成扒女商贩裤子了....;	6
(1/2)@闲人V碎语：@元芳此事什么看：【天朝的城管】河南一妇女为了给孩子凑钱治病，上街卖盗版CD，被城管发现后逃跑，CD被缴后跳入冰冷的水中躲避，城管还不肯放过她，要她把非法所得也交出来，她百般向城管哀求，这是孩子的救命钱，城管丝毫不为所动，不交钱就不许上岸，致使妇女在水中冻		6
网友消息 延安：#女城管#遭人肉 相册被破解#艳照#流出 http	王八蛋共贪党;第五张图。恶心！！！;[呵呵]低档鸡;	6
网友真厉害！马赛克太多了些！——【网爆延安打人女城管艳照】延安女城管遭人肉，相册被破解艳照流出！霸气侧漏。网友戏称其：白天打人，晚上吃人。 我在这里	#延安女城管# 转发微博 话题详情:http://t.cn/zHWIXpz;	6
【今日最猛料】延安打人女城管郑媛媛遭人肉，相册被破解艳照流出。当啥城管，当女优多好啊！！【往死里转】vie天涯社区	回复@机枪海文吴:艳照都有口爆，口爆就要拍艳照;回复@瓯南草根在线:怎么啦，你们也都羡慕眼红人家“城管媳拍艳照”啦?;回复@蠢到不会给微博取名字:[呵呵];	6
今天，延安打人女城管郑某艳照被晒出，网友还人肉出其电话，公布其QQ号：197462XX。看后深感临时工不易，网络这东西太可怕。	回复@0-0lol:多次不想活，那就让她去死吧！这人死一个少一个 来自话题#延安女城管被人肉# http://t.cn/zHWt9Qc;这女城管太坏了 外表看着文质彬彬的 实际禽兽不如 来自话题#延安女城管# http://t.cn/zHWIXG3;贱货。 来自话题#延安女城管# http://t.cn/zHWIXG3;	6
#延安城管#此女这么浪，艹起来一定很爽啊！	转发微博;姿势不爽;延安踩头男之妻，会爆踢的黄衣女子~~~;	6
【网爆延安打人女城管艳照】延安女城管遭人肉，相册被破解艳照流出！霸气侧漏。网友戏称其：白天打人，晚上吃人！ 好凶猛！！！（转）@袁裕来律师 @作家崔成浩	怎么啦，你们也都羡慕眼红人家“城管媳拍艳照”啦？;	6
【延安女城管遭人肉 艳照流出】今天，记者在浏览天涯论坛时，意外发现，在531延安城管打人事件中那个可恨的女城管已经被人肉，该贴提供了一组照片，很多不堪入目。虽然公开发布这种帖子不太道德。但此人实在可恨。同志们不要拍砖。见帖子http	转发微博;转发微博;转发微博;	6
延安女城管（双脚跳起踩头男城管之妻，视屏中穿黄色上衣躺在地上装死的那个女城管）遭人肉，相册被破解艳照流出。。。哼 （图片制尺度大，未成年人勿点 资料来自网络，老崔不负文责！）	哼;大家看：不实信息！;这样的图打马对不起围观人民。;	6
延安城管控股集团董事会秘书郑媛媛被肉，这就叫：恶人反被恶人操，能人背后有人弄。	你总在哪里看到这些劲爆的图啊，有无码的么？;韩国人;哥哥你发现没这样的事情国营单位！医院银行什么特别多！为啥啊为啥;	6
这是发生在宜昌市的一件痛心的事情，一位老奶奶就为了卖自己做的饰品，冒着烈日，甚至没有吃过早饭，在天桥上摆地摊，卖自己做的饰品，最后从车上下来几个年轻的城管，上前就对老奶奶一顿耳光，有一位年轻的城管踹了老奶奶一脚，不慎滚到天桥下面，满地都是老奶奶留下的鲜血，经过两小时抢救无效死亡		6
在宜昌市的一件事情，一位老奶奶就为了卖自己做的饰品冒着烈日甚至没有吃过早饭在天桥上摆地摊，最后从车上下来几个年轻的城管，上前就对老奶奶一顿耳光，有一位年轻的城管踹了老奶奶一脚，不慎滚到天桥下面，满地都是老奶奶留下的鲜血，经过两小时抢救无效死亡，警方已经拘留了这几名犯罪嫌疑人	这不是宜昌 宜昌没有这个桥;	6
【深圳城管直接开车碾压收报纸老人】这次摄像头没失灵，深圳再一次走在了全国前面。城管抢走了收废报纸老人秤，老人向城管索要，坐在车前不起，城管的汽车直接从老人身上活活碾压过去，老人目前生命垂危。向报道此事的深圳电视台致敬，求大家扩散人肉这帮人渣。http	事实证明、没有什么是绝对公正公平的;回复@画家孙海峰:这是一起认定的交通事故，非故意，司机承担1.2万元医疗费。而且是2005年的事了 http://t.cn/hqRD52;是什么原因还让这样的城鬼存在。;	6
重庆解放碑地区一妇女卖水果辛苦拉扯3个孩子，告诉孩子，街上卖山竹给孩子买点肉吃，孩子1星期没吃到肉。孩子开心：好啊，中午我在家先洗菜淘米，等你回家来烧饭哦”。女人：乖孩子，好好读书，将来才有出息，娘走了。——想不到半路上遇到城管执法把她推下台阶！竟成了永别！。http	转发微博;	6
@深圳公安 【深圳城管直接开车碾压收报纸老人】这次摄像头没失灵，深圳再一次走在了全国前面。城管抢走了收废报纸老人秤，老人向城管索要，坐在车前不起，城管的汽车直接从老人身上活活碾压过去，老人目前生命垂危。向报道此事的深圳电视台致敬，求大家扩散人肉这帮人渣。   《新闻报道》 城管取缔老太摊位，却用碾压老太致死（流畅）	我评论的这是事实报道!深圳电视台己经进行了详细报道，有视频，有真相!要敢于面对真相!;	6
一张记录邪恶的照片，血腥的一幕刺痛了所有人的心，年过古稀的老人在街头卖菜时被城管人员威严执法，当他捂着鲜血直流的伤口痛苦地蹲在地上时，怎么也想不通这些年龄跟自己孙子一般大的孩子为什么下手如此狠毒！举国上下都在整顿市容，底层生活只限于当权者纸上谈兵，繁华背后的肮脏又如何能清除得了！	我们的人权哪去了？;黑社会也不干这种事。//@云端觅溪源: //@无立足镜三世://@公民意识觉醒者://@Demky001: 壮哉我大城管！// @深度玖播报 :转发微博;@多啦A米霹雳花 @叶叶_120813 @趙斯汀Hero 城管大叔们，你们要是有这么好的打人兴趣干嘛不去日本呢？跟中国老头叫什么劲呀！SB//@金子art: //@吕澎: //@梦溪雨茶HI-NE-NI:说是不属实？老人被什么人伤的？ //@宋永红Song: //@邱岳首:看来，城管真是中国的一大乱源。;	6
【城管为了赶走路边卖小动物的小贩，把小贩的小动物全部活活踩死】因为小贩收摊慢了点，城管把小动物活活摔死，有小狗、小兔子、小乌龟和宠物鼠。小兔子被踩扁了，小狗的嘴里被踩出了鲜血，好多动物都摔成一团！！就算你要管理，但是也请你们珍惜生命。	@饼饼减肥啊你_Mitto喵驼君;回复@千帆过尽错过爱:不好意思，这个新闻的事实是小贩为了抗法摔死了小动物而不是城管摔死小动物，之前未充分了解信息的真实性是我的不对，很抱歉...不过，这样的行为不论是谁所为都是不对的，生命是平等的，希望小生命能在世界的那一端一切安好;这些人都他麻痹的畜生不如！ 那些去踩的人将来也会这么死的，等着吧 天收你！ 10秒前;	6
【赵红霞_百度百科】简介 赵红霞，女，汉族，1966年6月生，青海省西宁市城北城管执法局服务科科长。 2011年9月20日，获得第三届全国道德模范提名奖。荣誉 从清扫员到一名清掏工，赵红霞在环卫战线上一干就是20个春秋... http	韦小宝007太爱,【赵红霞】收藏成功。本文正文大约需要2分钟的阅读时间，请访问http://t.cn/zYy7q1U 稍后再读!;	6
天朝的城管~河南一妇女为了给孩子凑钱治病，上街卖盗版CD，被城管发现后逃跑，CD被缴后跳入冰冷的水中躲避，城管不肯放过，要她把非法所得也交出，她百般向城管哀求，这是孩子的救命钱，城管丝毫不为所动，不交钱不许上岸，致使妇女在水中冻了两个小时，最后昏死 對待它們就要像切糕少年一樣才行!	回复@姚忠平Jasonpen:對啊!我們只可以把她拉黑!其他的什麼都做不到...;回复@陈皮的UKU乐乐:现在我知道什么事了，真恐怖的间谍;林白月是一個無聊的雞婆,厲害啊!;	6
河南一妇女为了给孩子凑钱治病，上街卖盗版CD，被城管发现后逃跑，CD被缴后跳入冰冷的水中躲避，城管还不肯放过她，要她把非法所得也交出来，她百般向城管哀求，这是孩子的救命钱，城管丝毫不为所动，不交钱就不许上... http	图片评论 评论配图;您这种造谣一本正经说胡话的就该抓进去;图片评论 评论配图;	6
非法所得不交出不得上岸、城管追小贩要非法所得、十几名城管追小贩至冰冷的河里索要小贩非法所得、小贩只是卖了点菜而以小贩只是想活着而不是生活而以、城管牛逼、	假消息，有新闻报道的http://t.cn/zj1ykWs;	6
转自@糗事百科 不糗，割了能过？河南一妇女为了给孩子凑钱治病，上街卖盗版CD，被城管发现后逃跑，CD被缴后跳入冰冷的水中躲避，城管还不肯...		6
城管人性执法何日回归？@甄鲵-pastorsubject：河南一妇女为了给孩子凑钱治病，上街卖盗版CD被城管发现后逃跑，CD被缴后她跳入冰冷的水中，城管仍不肯放过她，交出非法所得，她百般向哀求：是孩子的救命钱……城管丝毫不为所动，不交钱不许上岸。可怜的妇女在寒冷的水中冻了两个小时直至昏死过去……	造谣传谣容易，辟谣就难了;回复@海南-李超:李超大哥，这个@甄鲵-pastorsubject 给别人造成这么大的伤害，连句澄清致歉的话都没有吗？！;回复@海南-李超:我怎么看她微博上全是转发别人的帖子呢？ 她这条微博很蹊跷啊;	6
【紧急呼于！刀下留人！声援！夏峻峰！】夏峻峰案9号上午宣判。一个生活在最底层卖烧烤的小贩，为了糊口上街卖烧烤，被城管殴打后被逼无奈自卫杀了两个城管，我们能帮他什么？只能传播事实真相，帮忙呼吁了！ http	;都是可怜人;狗急都会跳墙，更何况人，都是别逼出来的;	6
数名城管正在丧心病狂地掠夺价值过亿的街边财物。	well;;尼玛。。。。战斗力真强。。。。;	6
【城管疯了 福州城管围殴女摊贩 满身是血】10日晚上11点左右，福建福州城管暴力执法，在广达路汇多利对面殴打围殴手无寸铁的一个卖炒面的妇女，被打者满脸是血，女摊贩都躲到仓库了，城管居然追进去，那女摊贩最终倒地昏迷。最后倒地不起。http	//@10后寶寶的mama飞鸾1981: //@Je_remy_瑞: //@摩迷亮剑兄://@张华志V: 断人饭碗者不得好死;转发微博;可怜之人必有可恨之处;	6
“孩子，妈去街上卖点山竹，挣完钱了给你买点肉吃。”重庆一妇女对她孩子说。孩子开心回答：“好啊，中午我在家淘米，等你回家来烧饭哦”——想不到半路上遇到城管执法把她推下台阶成了永别！旁边的小贩说，这名妇女卖水果辛苦拉扯3个孩子。如果你看到此图愤怒了，请团结起来，替妇女夺回公道!!!	//@愚公2097: 从来就不是人//@美丽小秘笈:城管不是人!!!!!;没有人性呀，怎么不把那群人，人肉出来呢，;作孽啊！！！那帮畜生;	6
【逆天！城管毒打独腿老人致死！天网恢恢】被城管打死的死者是曾参加过对越自卫还击战，在一次战斗中腿被炸断，不知什么原因，后来生活一直没有着落，所以摆摊街头，直至出现现在的悲剧！！！	;父亲也参加对越反击战，他们那一辈为国家奉献那么多，他还患上坐骨神经痛，可现在还是在摆水果摊，每月的优抚金被上级层层。。之后，剩下的就很少了。唉。。。。。;;	6
【小悦悦事件再现。深圳：城管直接开车碾压收报纸老人】这次摄像头没失灵，深圳再一次走在了全国前面：城管抢走了收废报纸老人秤，老人向城管索要，坐在车前不起，城管的汽车直接从老人身上活活碾压过去，老人目前生命垂危。视频：http	泥马的！这种人渣就该往死里打！;;那一次我求助了深圳警察，他们帮了我;	6
【深圳：城管取缔老太摊位，却用碾压老太致死】这次摄像头没失灵，向报道此事的深圳电视媒体致礼！不得不承认敢于报道，深圳再一次走在了全国的前面，请看《新闻报道》：城管取缔老太摊位，一位收废报纸的老人向城管去索要自己的秤，被城管的汽车从身上活活碾压过去。http	一位收废报纸的老人向城管去索要自己的秤，被城管的汽车从身上活活碾压过去，如果有车违章停放，被拖当废品砚压处理我觉得还能接受。;新浪吃屎了吧;这他妈视频和目击者都是演员吗。还内容不实SB;	6
来自深圳电视台的报道：深圳城管，抢了收报纸老人的秤之后，老人坐到了城管执法车的前方，城管的车直接就用老人身上压过去了。那摊血，真的很刺眼！http	太令人震惊了，严惩不贷。;人性泯灭！;操你妈的城管;	6
﻿用户@海南-李超 发微博称：河南一妇女为救生病孩子卖盗版CD，被城管发现后逃跑，CD被缴后跳入冰冷的水中躲避。经查，图中妇女是因被抢劫而情急之下跳入河水中躲避，后被城管队员救起。该用户言论构成“发布不实信息”，扣除信用积分5分，账号禁言、禁被关注7天，卷宗：http	回复@晚风来势:所以说你是傻逼，这话也是可以的咯;看到“经查”两字，奇怪的是怎么查实的？是城管说的吗？;回复@晚风来势:如果不施以惩戒，怎么维护他人的声誉，救人都还要被误会被诽谤，谁还会去救人？;	7
有本事拍城管啊，拍强拆啊，拍下岗啊，拍失地的农民和污染的大地，这些才是这个时代的留影。//@王小痞1104497171		7
#我有话说#【摊贩因占道问题与城管争执遭殴打(组图)】 基本人权被肆意践踏，别再喊了，毫无希望可言。 http		7
婆婆一起怒打城管  原图		7
【为什么没有了童话故事里的爱情】因为王子在大战城管，公主在抵御山木。青蛙都被四川餐馆都做成菜了，女巫竞争上岗失败，被夺走了扫帚。最后，王子终于打败了奥特曼，和小怪兽一起幸福的生活下去。七个小矮人在山西挖着煤，没有赶上婚礼。		7
分享自平民百姓  《2013年01月10日》 -  你看电线杆正中门面房，还说是因为我们租不出去房子的   响水县物价局局长仇从科仗势欺压百姓，舅老爷在城管带人偷拆邻居门牌...  (来自 @头条博客) -   http		7
【中国人的共同梦想】 1、上学不收费；2、就业不求人；3、医生不卖药；4、食品不带毒；5、新闻不说谎；6、教授不白痴；7、当官不受贿；8、城管不打人；9、脱裤不走红；10、吹牛不出名；11、房子不强拆；12、百姓不畏权；13、环境不污染；14、领导不特权。同意的转走！！  原图		7
转：据说在中国能安全过桥的只有云南米线了！每个倒塌的桥面上，必然趴着数不清的蛀虫。过个车大桥坠毁；打个雷高铁追尾；下个雨满城泡水；开个会全国戒备；生个病债台高垒；读个书全家受累；眨个眼肉价飙飞；上个访有去无回；喝个奶时间不对；摆个地摊城管砸毁；炒个股票终生后悔		7
[2/3]系一个农博会，人虽然多，但有城管睇到实呢，跟住发得就慢了，三点九发完之后，领班又叫老板攞多一沓过来，又一轮博命发…四点几出发翻来咯，五点半先行到基建营，跟住还系肯德基，做左阵班长去街边叫左个凉皮，吃两啖居然就唔吃了…翻到来去饭堂，终于可以吃翻餐正常嘅喇…然后买左十蚊零食翻去		7
新年快到了的原因？城管大哥们，请你们别这样，看着被你们追赶着的大叔大妈们，那种心情不好受，天寒地冻的赚那么点钱却被你们如此追赶，被你们追着的同时，大叔大妈们的东西丢了也不敢回头捡，你们却还把他们丢下来的东西给踩烂，于心何忍？城管大哥们，拜托，行行好，大叔大妈们已年老了！		7
【温州十大“破路”，你被坑过吗？】温州市智慧城管中心经过严格评选，选出温州十大“破路”：1、机场大道 2、温州大道 3、瓯海大道 4、龙永路 5、锦绣路 6、会展路 7、府东路 8、六虹桥路 9、兴元路 10、杨府山路（以上排名分先后的）。PS	温州的路象月球，谁会对温州和温州的产品有信心;连最基本的路都修不好，温州的只能机关有多差劲，别再到处找藉口了。。。;永强大道也是破路;	7
小鸡不纯洁啊@腹黑城管菜菜兽 @陳嘉宜annal @Cute-Sunday @Ricky楷  原图	回复@猥-琐-小-肥-肥:你问他是男是女！;回复@池嵐大爱陳麻痹:哈哈;回复@Ricky楷:有;	7
普通老百姓是搞不过城管的 		7
【段子·期望】十亿人民九亿盼，何时房价跌一半；十亿人民九亿等，何时股市能平稳；十亿人民九亿愁，何时加上廉价油；十亿人民九亿想，何时物价不飞涨；十亿人民九亿疯，何时贪官不卖萌；十亿人民九亿喊，何时城管是条汉；十亿人民九亿怕，何时瓦斯不爆炸；十亿人民九亿吃，何时馒头不染色？by西秦之狼		7
智勇在线评论仙林风波：仙林车友们在地铁换乘停车场有序停车换乘，绿色出行就该积极支持，现在城管以为这是块肥肉要去收费，垃圾！有病！ 	回复@高照华:是啊，南京总是给人以这种印象并非好事，问题出在管理者身上。看到x市长玩太极应对绕城收费站问题的方式，与仙林的那些城管如出一辙。;南京总是因小失大，没魄力、不大气，绕城和仙林的做法就是最好的证明 //@奇人221:智勇在线评论仙林风波：仙林车友们在地铁换乘停车场有序停车换乘，绿色出行就该积极支持，现在城管以为这是块肥肉要去收费，垃圾！有病！;	7
嗨，一开始三个女人包场@我和城管吃过饭 @我哥是城管ll @鱼仔hoho8 @Ms丶_顔少墉 @陈文娜Cherry 我在	能带上我吗;	7
@独立之思想者 【你幸福吗？我很幸福啊！】油价一年才涨三四次，还有人帮助拆房子，城管免费帮收地摊，房价调控这么多年才两三万一平，有无数山寨货可以买，月薪三千才交税，去机关办事也不用挨揍送点礼多跑几次就把事办了，上网可以随便骂外国总统，出门见了老人摔倒不用扶…我很幸福。		7
黑巿埸鯨吞血汗钱，恶城管勾结沦帮凶，众档主欲哭无处诉。2009年罗村罗湖市场管理处将南停车场晚六点以后以每档每月240元租给近四十小贩经营杂货日用，并陆续收取每档二千元入场费和按金并签约，2012年8月@罗村城管 突然以创文为由强禁小贩经营，市场方拒不退还按金，众小贩不但损失惨重且衣食无着，	想问@罗村城管既然罗湖市场南停车场不许摆卖，那为何独独污染严重吗的烧烤可以，为什么？告诉罗村人为什么？收了黑钱还是权力寻租？@佛山电视台小强热线;@罗村城管 @佛山电视台小强热线 @罗村_零度容忍 @马志海;	7
早上出门，见一骑自行车，后座上挂着两个铁皮箱的小贩，他的铁皮箱上插着两面小五星红旗，两个箱子间还打着“打倒小日本”的小标语。正忙活时，突然听到有人喊：“城管来了！”他仓皇收拾东西，推着车就跑。我说：“你日本鬼子都不怕，还怕城管？”他说：“鬼子还远着，城管说来就来啊”  原图		7
今晚我们篮球赛打赢了城管，打破了城管不可战胜的神话！求贺电！！！  原图		7
鸡在想，这对翅膀能像凤凰被夸多好；猪在想，能天天吃上嗟来之食不被杀吃多好；狗在想，不用在主子面前摇尾乞怜多好；城管在想，这世界没有相机和微博多好；官人在想，我们能像朝鲜那样满目温顺多好；百姓在想，能有一份说真话道真相的报纸多好。。。  原图	//@情感语录集:;;;	7
好东西一起分享，一直盯着歌词吧，我也是看了两次才发现很有感觉@陈广不是城管 欢迎回到现实世界 动漫MAD-动漫专属 高清MV-音悦台		7
【济南民警为环卫工送来爱心早餐】为解决环卫工的早餐问题，济南市城管局发起了“爱心早餐”活动。在环卫工吃完早餐之后，支队还进行了捐款行动，44位支队民警共捐款1800元，这些捐款都将汇入济南市城管局设立的“一元基金”。  原图		7
【福州邻居称一楼挖地下室3米深 搞得楼上心慌慌】多位居民拨968111热线反映：近半年，福州晋安区鼎屿一路汇诚井源居14号楼108、109单元开始装修，工人竟悄悄地挖了地下室。17日，城管赶来了，工人又连夜把地下室的入口封起来。我们担心，这样会造成整栋楼地基下沉、墙体开裂，影响其他业主房屋的安全。  原图		7
此执法权由卫生、铁路、民航、教育、公安等多部门实施或委托执法，是否将处罚权集中给城管综合执法部门不是一定的；按国际惯例此禁烟之公共场所指室内或公共交通工具内的公共空间，与城管的执法空间范围不同。现在废止城管制度不可能，只可能先规范、法治分权和城镇化彻底完成后才俱备废除的条件。 	黄爷，我昨晚上回家在地铁站口看见一烤冷面的大哥被城管连人带车都弄走了，而且是在晚上10点的时候，这个时间是城管的上班时间吗？;	7
广州城管真的敬业，晚上12点了还在上班，吃宵夜  原图		7
教育——擇校費、學雜費 交通、運輸——形形色色的罰單 銀行、金融——林林總總的服務費 有多少“費”是通過了全國人民代表大會的 工商、土地、質檢、城管、交通、公安等部門有多少“費”是上不了臺面的 太多打白條、沒發票的收據 同胞們：知道這些莫名的費用都去向何... http		7
今天要感谢好姐妹@大家智 千里迢迢为我送来一双居家旅行必备的洗碗手套，还在寒风中等了我半个多钟头，感动，祝你生意兴隆，跑的快过城管	回复@大家智: @大家智 龟儿子，给老爸送个剃须刀！;;	7
一个姑娘曰：”我的电脑最近总死机，为何。“查其系统，四个杀毒软件三个防火墙三个安全防护，其谓之这样安全。解释：”你家就50平米，有四个警察三个保安三个城管，能安全吗？“姑娘释然。.		7
【西安雷人规定：为城市美观停车要一致直朝外，否则罚钱】据华商报，西安数位车主近日吃了哑巴亏，仅仅因为在停车场停车时，车头的方向没有与其他车辆一样冲外，就遭城管处罚。对此，当地城管部门解释说，为了城市美观，西安自今年起开始统一规范道沿上停车场停车方向，车头要一致朝外，即面朝马路。	西安城管V5！请急速进京帮忙整治一下盘踞在各个路口的黑车！//@V雨夜微醉V: 天朝各种特色;是不是又在设局？停车场都有收费员，怎么停，收费员可以告诉、指挥怎么停，为什么城管非得罚款呢？;回复@刘朋Found:有些时候没有什么不可以，你懂得……;	7
的确是都出现了，不排除于的追随者摆拍。城管的确黑，但是城管黑与某些人性本贱做出摆拍这种事并不矛盾 		7
薛家南路 瑞园水岸枫情附近每天半夜放烟火炮仗 好不容易睡着的小孩半夜惊醒 谁来管管@甬城智慧城管 @幸福小男人JH	回复@可楽鸡鸡:好;回复@可楽鸡鸡:Yes;回复@囡囡宝916:下次去了买点那;	7
#关注仙林四大停车场收费风波# 有句典型的南京话叫“刷色”，栖霞城管10号停止收费的行为很“刷色”；栖霞城管X书记接受采访的说辞很“刷色”；仙林城管在微博上发了又删的所谓说明更“刷色”。作为政府基层行政执法机构的所作所为不能这么不靠谱，政策的朝令夕改意味着它丧失了合法性和适用性！	//@仙林车友会-抗议地铁停车乱收费: 但愿如此，希望@南京价格监测 春节前暂停批复涉及民生出行的收费申请，让仙林百姓过个安心年！//@江苏广播网_汽车频道:目前，栖霞城管在接受采访时已经明确表态：本月28日重新开始收费的说法同样不靠谱，仙林的车友们至少可以安心过个春节了！;此事半月来如雾里看花，城管既然说28号不会收费，为什么停车场工作人员得意洋洋地说28号之前铁定要收？谁给他的底气？栖霞的收费请示，进展到哪一步？28号不收，下月8号会不会收？是否召开听证会？是否应征求公众意见？南京为什么不干脆免费，在全国树立一个鼓励低碳出行的标杆？@南京价格监测;目前，栖霞城管在接受采访时已经明确表态：本月28日重新开始收费的说法同样不靠谱，仙林的车友们至少可以安心过个春节了！@仙林车友会-抗议地铁停车乱收费 @奇人221 @江苏交广大鹏 @南京零距离 @南京顾震;	7
真娘的十三点一样的施工单位，十四点一样的监管单位，生活在@鄞州城管 @鄞州区潘火街道尚诚社区 管理下真Tmd的像一种被强奸也要让你说幸福吗的感觉，深更半夜的施工永远不停，你们管不住流氓的施工者，估计就只有点本事弄弄小P民的嘴。国骂给你们算客气。	回复@真名太负面:;回复@从今天开始重新做人:既然诉求解决不了问题，那只能把矛盾激化，用武力解决吧！;你要么出去避避吧。。。。。这样下去神经要衰弱的。;	7
推荐@小乖20122012天堂 的帖子《徐州城管大战切糕党》，大家也来看看吧～ 		7
#临武小贩之死#【人民微评：临武，你看到发酵的舆情了吗？】湖南临武瓜农与城管冲突致死案，正在网络空间迅速发酵。警察抢尸、记者被打、发布会推迟等消息纷至沓来，令地方政府面临更大舆情危机。城管形象屡屡崩塌，背后是公众对公权力越界逾矩的气愤。如果权威信息一再迟误，对立情绪又怎能不加剧！？  原图	回复@WuZHBin:我湖北;共产党万岁，我们还要忍受一万年.......;新浪，真贱人，微博删了有删。评论删了又删，收了县长多少删啊？新浪太贱了，县长肯定是你干爹吧？大家玩腾讯去吧，新浪贱啊;	7
